Membership No  Date Joined  Active  
    66783      2019-5-8     yes   
    52566      2017-11-23   yes   
    34822      2018-11-2    yes   
    76588      2015-12-23   yes   
    30784      2019-11-17   no    
    43358      2018-4-24    no    
    87375      2019-2-3     no    
    98636      2018-2-16    yes   
    84931      2016-5-24    yes   
    94805      2015-10-10   yes   
    33979      2018-12-9    yes   
    89562      2019-6-10    yes   
    54807      2020-8-24    no    
    47769      2016-8-4     yes   
    60606      2017-10-23   yes   
    42843      2016-7-13    yes   
    20940      2017-12-4    no    
    98109      2016-6-8     yes   
    77114      2016-10-7    yes   
    38504      2017-10-13   yes   
